eia_id,state,area_m2,plant_year,longitude,latitude,open water,"developed, open space","developed, low intensity","developed, medium intensity","developed, high intensity",barren land,deciduous forest,evergreen forest,mixed forest,shrub/scrub,herbaceous,hay/pasture,cultivated crops,woody wetlands,emergent herbaceous wetlands,,,,,,,,,,,,,,,,,
57378,CA,5654136.135,2014,-118.4272919,34.7799416,0.000,0.000,0.000,0.000,0.000,0.130,0.000,0.000,0.000,0.395,0.476,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
60080,CA,365046.7371,2016,-119.0569611,35.8455505,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.993,0.000,0.000,,,,,,,,,,,,,,,,,
60079,CA,484334.8114,2016,-119.06633,35.8447571,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.991,0.000,0.000,,,,,,,,,,,,,,,,,
58275,MA,15832.26297,2014,-72.2244644,42.1992912,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
59413,CA,388611.1598,2015,-119.5816498,36.1419983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
59273,CA,309546.0382,2015,-117.9395676,34.6122284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
58373,CA,573977.2075,2013,-119.4524384,35.8754463,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.991,0.000,0.000,,,,,,,,,,,,,,,,,
57523,CA,381036.2311,2012,-120.1084061,36.1773834,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,,,,,,,,
57959,CA,159543.0023,2014,-116.32798,33.2652245,0.000,0.000,0.000,0.000,0.000,0.718,0.000,0.000,0.000,0.232,0.051,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
58991,CA,612370.0052,2014,-119.9103546,36.2219734,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,,,,,,,,
59722,CA,581182.5429,2015,-116.0015945,33.1164856,0.000,0.000,0.000,0.000,0.000,0.885,0.000,0.000,0.000,0.115,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
59723,CA,813391.551,2015,-116.0029755,33.1091576,0.000,0.000,0.000,0.000,0.000,0.314,0.000,0.000,0.000,0.548,0.000,0.000,0.138,0.000,0.000,,,,,,,,,,,,,,,,,
60027,CA,447630.4208,2015,-120.3244629,37.1205292,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,,,,,,,,
60039,CA,546820.7225,2016,-121.1498642,37.3670769,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.740,0.231,0.000,0.000,,,,,,,,,,,,,,,,,
58975,CA,2005789.574,2016,-119.8042297,36.2182198,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,,,,,,,,
59150,CA,2946691.918,2016,-119.9152069,36.2404099,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,,,,,,,,
59523,CA,1633011.781,2016,-120.2399597,36.3934746,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.000,0.000,,,,,,,,,,,,,,,,,
